,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,city_fix,gender_encoded,relevent_experience_encoded,enrolled_university_encoded,education_level_encoded,major_discipline_encoded,experience_encoded,company_size_encoded,company_type_encoded,last_new_job_encoded
0,23798,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,106,0,149,1,0,3,0,5,3,1,5,1
1,29166,city_83,0.9229999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Funded Startup,1,69,0,83,1,0,3,0,5,14,7,1,1
2,46,city_16,0.91,Prefer not to say,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Public Sector,2,4,0,16,3,0,3,0,5,6,4,4,2
3,18527,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,1,26,0,64,1,0,3,0,5,14,4,5,1
4,21751,city_100,0.887,Prefer not to say,No relevent experience,no_enrollment,Masters,STEM,8,No information,Other,2,88,1,100,3,1,3,2,5,8,8,3,2
5,13342,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0,21,0,0,3,0,4,8,6,5,2
6,11746,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,3,23,1,21,1,0,3,0,5,6,3,5,3
7,24127,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,8,0,114,1,0,3,2,5,21,7,5,5
8,7615,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,10,0,103,1,0,3,0,5,21,2,5,5
9,9676,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,85,0,97,1,0,3,0,5,21,2,5,5
10,32957,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,4,1000-4999,Pvt Ltd,2,106,0,103,1,1,0,0,5,4,2,5,2
11,13091,city_160,0.92,Male,No relevent experience,Part time course,Graduate,Other,6,10000+,Public Sector,3,55,0,160,1,1,2,0,4,6,3,4,3
12,681,city_65,0.802,Male,Has relevent experience,Part time course,Graduate,No Major,9,10000+,Pvt Ltd,1,13,0,65,1,0,2,0,3,9,3,5,1
13,33356,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,51,0,90,1,0,3,0,5,21,1,5,5
14,20247,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,1000-4999,Pvt Ltd,1,4,0,103,1,0,3,0,5,3,2,5,1
15,19752,city_75,0.9390000000000001,Male,Has relevent experience,Full time course,High School,Other,9,No information,Other,1,28,0,75,1,0,0,1,4,9,8,3,1
16,28429,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,35,0,160,1,0,3,0,5,21,4,5,1
17,16508,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,never,42,0,136,1,0,3,2,5,3,7,0,0
18,13977,city_159,0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,>4,45,0,159,1,0,3,0,5,15,1,5,5
19,2776,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,Business Degree,>20,No information,Other,4,11,0,114,1,0,3,2,1,21,8,3,4
20,16443,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,3,10000+,Pvt Ltd,1,106,0,21,1,0,0,0,5,3,3,5,1
21,16067,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,2,51,0,67,1,0,3,0,5,10,7,5,2
22,20897,city_136,0.897,Prefer not to say,Has relevent experience,no_enrollment,High School,Other,3,No information,Other,1,12,0,136,3,0,3,1,4,3,8,3,1
23,25178,city_28,0.9390000000000001,Prefer not to say,No relevent experience,No information,Graduate,STEM,1,10000+,Other,never,11,0,28,3,1,1,0,5,1,3,3,0
24,3472,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,Other,>20,500-999,Pvt Ltd,>4,54,1,16,1,0,3,1,4,21,5,5,5
25,30466,city_10,0.895,Male,No relevent experience,Full time course,High School,Other,4,10/49,Pvt Ltd,1,89,0,10,1,1,0,1,4,4,0,5,1
